,hco_tuple_animal_id,hco_winner,hco_loser,hco_averaged_winner,hco_averaged_loser,hco_averaged_winner_win_count,hco_averaged_loser_win_count,hco_count_difference,hco_match_count,hco_percent_win,hco_percentage_tie
0,"('2.1', '2.2')","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2']",2.1,2.2,8,0,8,8,1.0,False
1,"('2.1', '2.3')","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']",2.1,2.3,8,0,8,8,1.0,False
2,"('2.1', '2.4')","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']",2.1,2.4,9,0,9,9,1.0,False
3,"('2.3', '2.4')","['2.4', '2.4', '2.3', '2.3', '2.3', '2.4']","['2.3', '2.3', '2.4', '2.4', '2.4', '2.3']",2.4,2.3,3,3,0,6,0.5,True
4,"('4.1', '4.2')","['4.2', '4.2', '4.2', '4.2', '4.2']","['4.1', '4.1', '4.1', '4.1', '4.1']",4.2,4.1,5,0,5,5,1.0,False
5,"('4.1', '4.3')","['4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3']","['4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1']",4.3,4.1,35,0,35,35,1.0,False
6,"('4.1', '4.4')","['4.4', '4.4', '4.4']","['4.1', '4.1', '4.1']",4.4,4.1,3,0,3,3,1.0,False
7,"('4.2', '4.3')","['4.3', '4.3', '4.3', '4.2', '4.3', '4.3', '4.2', '4.2', '4.2', '4.2', '4.2']","['4.2', '4.2', '4.2', '4.3', '4.2', '4.2', '4.3', '4.3', '4.3', '4.3', '4.3']",4.2,4.3,6,5,1,11,0.5454545454545454,True
8,"('4.2', '4.4')","['4.2', '4.4', '4.2']","['4.4', '4.2', '4.4']",4.2,4.4,2,1,1,3,0.6666666666666666,True
9,"('4.3', '4.4')","['4.3', '4.3', '4.4', '4.4']","['4.4', '4.4', '4.3', '4.3']",4.3,4.4,2,2,0,4,0.5,True
10,"('5.1', '5.3')","['5.1', '5.1', '5.1', '5.1', '5.1', '5.3', '5.3', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.3', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1']","['5.3', '5.3', '5.3', '5.3', '5.3', '5.1', '5.1', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.1', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3']",5.1,5.3,46,3,43,49,0.9387755102040817,False
11,"('5.2', '5.4')","['5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.2', '5.4', '5.4', '5.2', '5.4', '5.4', '5.4', '5.4', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2']","['5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.4', '5.2', '5.2', '5.4', '5.2', '5.2', '5.2', '5.2', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4']",5.4,5.2,14,11,3,25,0.56,True
12,"('5.3', '5.4')","['5.3', '5.3', '5.3', '5.3', '5.3', '5.4']","['5.4', '5.4', '5.4', '5.4', '5.4', '5.3']",5.3,5.4,5,1,4,6,0.8333333333333334,False
